"","X.1","time","X","t_i_1","t_i_2","t_i_3","t_i_4","t_i_5","t_o","weight_kg","h","t","p","key","day","month","year","hour","minute","second","uni_time","numeric.time","weight_delta","no_jump","outlier_lim","weight_delta_noOutlier","weight_kg_noOutlier","with_0","queencell.last","queencell.next","queencell.last.dif","queencell.next.dif","feeding.last","feeding.next","feeding.last.dif","feeding.next.dif","honey.last","honey.next","honey.last.dif","honey.next.dif","treatment.last","treatment.next","treatment.last.dif","treatment.next.dif","died.last","died.next","died.last.dif","died.next.dif","swarming.last","swarming.next","swarming.last.dif","swarming.next.dif","lon","lat"
"1",1,"2021-01-01 00:00:00",30.5,3.4140625,2.63072916666667,3.16927083333333,3.19427083333333,NA,0.99375,30.264554,NA,6.62670029166667,1002.83255,49,1,1,2021,0,29.5,0,NA,30.5,-6.45000000000448e-05,1,0,-6.45000000000448e-05,-0.000426000000001163,-6.45000000000448e-05,NA,NA,NA,NA,NA,NA,478.261458333333,NA,NA,NA,494.615625,466.744097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"2",2,"2021-01-01 01:00:00",90.5,3.30677083333333,2.51510416666667,3.10208333333333,3.10885416666667,NA,0.855729166666667,30.2604243333333,NA,6.53901656666667,1003.168575,49,1,1,2021,1,29.5,0,NA,90.5,2.2333333333376e-05,1,0,2.2333333333376e-05,-0.00455566666666787,2.2333333333376e-05,NA,NA,NA,NA,NA,NA,478.303125,NA,NA,NA,494.657291666667,466.702430555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"3",3,"2021-01-01 02:00:00",150.5,3.34583333333333,2.43958333333333,3.21197916666667,3.15052083333333,NA,1.13697916666667,30.2653295,NA,6.44257401666667,1003.66915,49,1,1,2021,2,29.5,0,NA,150.5,8.03333333333119e-05,1,0,8.03333333333119e-05,0.000349499999998611,8.03333333333119e-05,NA,NA,NA,NA,NA,NA,478.344791666667,NA,NA,NA,494.698958333333,466.660763888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"4",4,"2021-01-01 03:00:00",210.5,3.28958333333333,2.3625,3.21822916666667,3.11197916666667,NA,1.1203125,30.2662110833333,NA,6.44304876666667,1003.919525,49,1,1,2021,3,29.5,0,NA,210.5,-2.5000000000001e-05,1,0,-2.5000000000001e-05,0.00123108333333194,-2.5000000000001e-05,NA,NA,NA,NA,NA,NA,478.386458333333,NA,NA,NA,494.740625,466.619097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"5",5,"2021-01-01 04:00:00",270.5,3.23333333333333,2.36614583333333,3.16666666666667,3.06197916666667,NA,1.07291666666667,30.2636344166667,NA,6.471309375,1004.13005,49,1,1,2021,4,29.5,0,NA,270.5,-1.33333333333024e-05,1,0,-1.33333333333024e-05,-0.00134558333333477,-1.33333333333024e-05,NA,NA,NA,NA,NA,NA,478.428125,NA,NA,NA,494.782291666667,466.577430555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"6",6,"2021-01-01 05:00:00",330.5,3.25572916666667,2.29947916666667,3.22135416666667,3.08385416666667,NA,1.10625,30.2629324166667,NA,6.46743141666667,1004.49269166667,49,1,1,2021,5,29.5,0,NA,330.5,-5.55000000000306e-05,1,0,-5.55000000000306e-05,-0.00204758333333454,-5.55000000000306e-05,NA,NA,NA,NA,NA,NA,478.469791666667,NA,NA,NA,494.823958333333,466.535763888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"7",7,"2021-01-01 06:00:00",390.5,3.20104166666667,2.28229166666667,3.12552083333333,3.02864583333333,NA,0.977083333333333,30.2584035,NA,6.46588984166667,1005.15263333333,49,1,1,2021,6,29.5,0,NA,390.5,-7.75000000000266e-05,1,0,-7.75000000000266e-05,-0.00657650000000138,-7.75000000000266e-05,NA,NA,NA,NA,NA,NA,478.511458333333,NA,NA,NA,494.865625,466.494097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"8",8,"2021-01-01 07:00:00",450.5,3.140625,2.33958333333333,2.96041666666667,2.96510416666667,NA,0.8890625,30.2560839166667,NA,6.41648978333333,1005.77306666667,49,1,1,2021,7,29.5,0,NA,450.5,-4.66666666660823e-06,1,0,-4.66666666660823e-06,-0.00889608333333462,-4.66666666660823e-06,NA,NA,NA,NA,NA,NA,478.553125,NA,NA,NA,494.907291666667,466.452430555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"9",9,"2021-01-01 08:00:00",510.5,3.14947916666667,2.20104166666667,3.11666666666667,2.98697916666667,NA,1.39479166666667,30.2609771666667,NA,6.42119465,1006.20189166667,49,1,1,2021,8,29.5,0,NA,510.5,0.000153833333333312,1,0,0.000153833333333312,-0.0040028333333348,0.000153833333333312,NA,NA,NA,NA,NA,NA,478.594791666667,NA,NA,NA,494.948958333333,466.410763888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"10",10,"2021-01-01 09:00:00",570.5,3.32135416666667,2.384375,3.30572916666667,3.153125,NA,2.05364583333333,30.2696773333333,NA,6.61219113333333,1006.73390833333,49,1,1,2021,9,29.5,0,NA,570.5,0.000126749999999968,1,0,0.000126749999999968,0.00469733333333195,0.000126749999999968,NA,NA,NA,NA,NA,NA,478.636458333333,NA,NA,NA,494.990625,466.369097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
