"","X.1","time","X","t_i_1","t_i_2","t_i_3","t_i_4","t_i_5","t_o","weight_kg","h","t","p","key","day","month","year","hour","minute","second","uni_time","numeric.time","weight_delta","no_jump","outlier_lim","weight_delta_noOutlier","weight_kg_noOutlier","with_0","queencell.last","queencell.next","queencell.last.dif","queencell.next.dif","feeding.last","feeding.next","feeding.last.dif","feeding.next.dif","honey.last","honey.next","honey.last.dif","honey.next.dif","treatment.last","treatment.next","treatment.last.dif","treatment.next.dif","died.last","died.next","died.last.dif","died.next.dif","swarming.last","swarming.next","swarming.last.dif","swarming.next.dif","lon","lat"
"1",1,"2022-01-01 00:00:00",30.5,NA,NA,NA,NA,NA,NA,33.245846,43.3063016666667,14.0792674166667,300,49,1,1,2022,0,29.5,0,NA,30.5,-0.000150000000000006,1,0,-0.000150000000000006,-0.0063490000000004,-0.000150000000000006,NA,NA,NA,NA,NA,NA,843.261458333333,NA,NA,NA,74270790,8790690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"2",2,"2022-01-01 01:00:00",90.5,NA,NA,NA,NA,NA,NA,33.2417446666667,43.3056799166667,14.0319221666667,300,49,1,1,2022,1,29.5,0,NA,90.5,-3.39166666666554e-05,1,0,-3.39166666666554e-05,-0.0104503333333337,-3.39166666666554e-05,NA,NA,NA,NA,NA,NA,843.303125,NA,NA,NA,74274390,8787090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"3",3,"2022-01-01 02:00:00",150.5,NA,NA,NA,NA,NA,NA,33.2405565,43.3089610833333,13.8795325,300,49,1,1,2022,2,29.5,0,NA,150.5,4.2583333333349e-05,1,0,4.2583333333349e-05,-0.0116385000000001,4.2583333333349e-05,NA,NA,NA,NA,NA,NA,843.344791666667,NA,NA,NA,74277990,8783490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"4",4,"2022-01-01 03:00:00",210.5,NA,NA,NA,NA,NA,NA,33.2385944166667,43.3098094166667,13.71179425,300,49,1,1,2022,3,29.5,0,NA,210.5,-0.00013391666666666,1,0,-0.00013391666666666,-0.0136005833333337,-0.00013391666666666,NA,NA,NA,NA,NA,NA,843.386458333333,NA,NA,NA,74281590,8779890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"5",5,"2022-01-01 04:00:00",270.5,NA,NA,NA,NA,NA,NA,33.2346398333333,43.3112185833333,13.6553769166667,300,49,1,1,2022,4,29.5,0,NA,270.5,-6.70000000000692e-05,1,0,-6.70000000000692e-05,-0.017555166666667,-6.70000000000692e-05,NA,NA,NA,NA,NA,NA,843.428125,NA,NA,NA,74285190,8776290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"6",6,"2022-01-01 05:00:00",330.5,NA,NA,NA,NA,NA,NA,33.223901,43.3171526666667,13.4801983333333,300,49,1,1,2022,5,29.5,0,NA,330.5,-0.000278583333333297,1,0,-0.000278583333333297,-0.0282940000000002,-0.000278583333333297,NA,NA,NA,NA,NA,NA,843.469791666667,NA,NA,NA,74288790,8772690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"7",7,"2022-01-01 06:00:00",390.5,NA,NA,NA,NA,NA,NA,33.2156470833333,43.31645325,13.27810675,300,49,1,1,2022,6,29.5,0,NA,390.5,5.94166666666966e-05,1,0,5.94166666666966e-05,-0.0365479166666673,5.94166666666966e-05,NA,NA,NA,NA,NA,NA,843.511458333333,NA,NA,NA,74292390,8769090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"8",8,"2022-01-01 07:00:00",450.5,NA,NA,NA,NA,NA,NA,33.2204125833333,43.3163345833333,13.1286625833333,300,49,1,1,2022,7,29.5,0,NA,450.5,6.80833333332722e-05,1,0,6.80833333332722e-05,-0.0317824166666668,6.80833333332722e-05,NA,NA,NA,NA,NA,NA,843.553125,NA,NA,NA,74295990,8765490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"9",9,"2022-01-01 08:00:00",510.5,NA,NA,NA,NA,NA,NA,33.247162,43.3232890833333,13.3318429166667,300,49,1,1,2022,8,29.5,0,NA,510.5,0.000686500000000005,1,0,0.000686500000000005,-0.00503300000000024,0.000686500000000005,NA,NA,NA,NA,NA,NA,843.594791666667,NA,NA,NA,74299590,8761890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"10",10,"2022-01-01 09:00:00",570.5,NA,NA,NA,NA,NA,NA,33.2831350833333,43.3348723333333,13.72422525,300,49,1,1,2022,9,29.5,0,NA,570.5,0.000709750000000042,1,0,0.000709750000000042,0.0309400833333324,0.000709750000000042,NA,NA,NA,NA,NA,NA,843.636458333333,NA,NA,NA,74303190,8758290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"11",11,"2022-01-01 10:00:00",630.5,NA,NA,NA,NA,NA,NA,33.30796425,43.34798025,14.2239431666667,300,49,1,1,2022,10,29.5,0,NA,630.5,6.77499999999514e-05,1,0,6.77499999999514e-05,0.0557692499999999,6.77499999999514e-05,NA,NA,NA,NA,NA,NA,843.678125,NA,NA,NA,74306790,8754690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"12",12,"2022-01-01 11:00:00",690.5,NA,NA,NA,NA,NA,NA,33.3032561666667,43.3582181666667,14.6585808333333,300,49,1,1,2022,11,29.5,0,NA,690.5,-0.000150750000000007,1,0,-0.000150750000000007,0.0510611666666661,-0.000150750000000007,NA,NA,NA,NA,NA,NA,843.719791666667,NA,NA,NA,74310390,8751090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"13",13,"2022-01-01 12:00:00",750.5,NA,NA,NA,NA,NA,NA,33.2869873333333,43.367679,15.0986938333333,300,49,1,1,2022,12,29.5,0,NA,750.5,-0.000338583333333276,1,0,-0.000338583333333276,0.0347923333333328,-0.000338583333333276,NA,NA,NA,NA,NA,NA,843.761458333333,NA,NA,NA,74313990,8747490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"14",14,"2022-01-01 13:00:00",810.5,NA,NA,NA,NA,NA,NA,33.26303575,43.37364025,15.4036003333333,300,49,1,1,2022,13,29.5,0,NA,810.5,0.000241416666666676,1,0,0.000241416666666676,0.0108407499999996,0.000241416666666676,NA,NA,NA,NA,NA,NA,843.803125,NA,NA,NA,74317590,8743890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"15",15,"2022-01-01 14:00:00",870.5,NA,NA,NA,NA,NA,NA,33.2408223333333,43.3708036666667,15.302971,300,49,1,1,2022,14,29.5,0,NA,870.5,-0.00117883333333341,1,0,-0.00117883333333341,-0.0113726666666668,-0.00117883333333341,NA,NA,NA,NA,NA,NA,843.844791666667,NA,NA,NA,74321190,8740290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"16",16,"2022-01-01 15:00:00",930.5,NA,NA,NA,NA,NA,NA,33.2021875833333,43.3582893333333,14.683915,300,49,1,1,2022,15,29.5,0,NA,930.5,-0.000694833333333259,1,0,-0.000694833333333259,-0.050007416666667,-0.000694833333333259,NA,NA,NA,NA,NA,NA,843.886458333333,NA,NA,NA,74324790,8736690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"17",17,"2022-01-01 16:00:00",990.5,NA,NA,NA,NA,NA,NA,33.17886925,43.336914,13.71913625,300,49,1,1,2022,16,29.5,0,NA,990.5,-0.000149666666666686,1,0,-0.000149666666666686,-0.0733257500000005,-0.000149666666666686,NA,NA,NA,NA,NA,NA,843.928125,NA,NA,NA,74328390,8733090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"18",18,"2022-01-01 17:00:00",1050.5,NA,NA,NA,NA,NA,NA,33.1811505,43.3225881666667,13.0623810833333,300,49,1,1,2022,17,29.5,0,NA,1050.5,7.56666666666444e-05,1,0,7.56666666666444e-05,-0.0710445000000006,7.56666666666444e-05,NA,NA,NA,NA,NA,NA,843.969791666667,NA,NA,NA,74331990,8729490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"19",19,"2022-01-01 18:00:00",1110.5,NA,NA,NA,NA,NA,NA,33.17521325,43.3137051666667,12.62610775,300,49,1,1,2022,18,29.5,0,NA,1110.5,-0.000127083333333289,1,0,-0.000127083333333289,-0.0769817500000001,-0.000127083333333289,NA,NA,NA,NA,NA,NA,844.011458333333,NA,NA,NA,74335590,8725890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"20",20,"2022-01-01 19:00:00",1170.5,NA,NA,NA,NA,NA,NA,33.17061925,43.3089075833333,12.3714845,300,49,1,1,2022,19,29.5,0,NA,1170.5,-6.80000000000307e-05,1,0,-6.80000000000307e-05,-0.0815757500000004,-6.80000000000307e-05,NA,NA,NA,NA,NA,NA,844.053125,NA,NA,NA,74339190,8722290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"21",21,"2022-01-01 20:00:00",1230.5,NA,NA,NA,NA,NA,NA,33.1656995,43.29891325,11.8927579166667,300,49,1,1,2022,20,29.5,0,NA,1230.5,-2.74999999999658e-05,1,0,-2.74999999999658e-05,-0.086495500000001,-2.74999999999658e-05,NA,NA,NA,NA,NA,NA,844.094791666667,NA,NA,NA,74342790,8718690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"22",22,"2022-01-01 21:00:00",1290.5,NA,NA,NA,NA,NA,NA,33.1632614166667,43.28906825,11.4061119166667,300,49,1,1,2022,21,29.5,0,NA,1290.5,-2.83333333333264e-05,1,0,-2.83333333333264e-05,-0.0889335833333329,-2.83333333333264e-05,NA,NA,NA,NA,NA,NA,844.136458333333,NA,NA,NA,74346390,8715090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"23",23,"2022-01-01 22:00:00",1350.5,NA,NA,NA,NA,NA,NA,33.1595679166667,43.2774195,10.88428175,300,49,1,1,2022,22,29.5,0,NA,1350.5,-7.28333333333593e-05,1,0,-7.28333333333593e-05,-0.0926270833333335,-7.28333333333593e-05,NA,NA,NA,NA,NA,NA,844.178125,NA,NA,NA,74349990,8711490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"24",24,"2022-01-01 23:00:00",1410.5,NA,NA,NA,NA,NA,NA,33.1550561666667,43.2815036666667,11.0353433333333,300,49,1,1,2022,23,29.5,0,NA,1410.5,-0.00015916666666674,1,0,-0.00015916666666674,-0.0971388333333338,-0.00015916666666674,NA,NA,NA,NA,NA,NA,844.219791666667,NA,NA,NA,74353590,8707890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"25",25,"2022-01-02 00:00:00",1470.5,NA,NA,NA,NA,NA,NA,33.1500866666667,43.2787599166667,10.910272,300,49,2,1,2022,0,29.5,0,NA,1470.5,5.15000000000046e-05,1,0,5.15000000000046e-05,-0.102108333333334,5.15000000000046e-05,NA,NA,NA,NA,NA,NA,844.261458333333,NA,NA,NA,74357190,8704290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"26",26,"2022-01-02 01:00:00",1530.5,NA,NA,NA,NA,NA,NA,33.1553943333333,43.2813404166667,11.02163975,300,49,2,1,2022,1,29.5,0,NA,1530.5,6.25000000000614e-05,1,0,6.25000000000614e-05,-0.0968006666666675,6.25000000000614e-05,NA,NA,NA,NA,NA,NA,844.303125,NA,NA,NA,74360790,8700690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
