"","X.1","time","X","t_i_1","t_i_2","t_i_3","t_i_4","t_i_5","t_o","weight_kg","h","t","p","key","day","month","year","hour","minute","second","uni_time","numeric.time","weight_delta","no_jump","outlier_lim","weight_delta_noOutlier","weight_kg_noOutlier","with_0","queencell.last","queencell.next","queencell.last.dif","queencell.next.dif","feeding.last","feeding.next","feeding.last.dif","feeding.next.dif","honey.last","honey.next","honey.last.dif","honey.next.dif","treatment.last","treatment.next","treatment.last.dif","treatment.next.dif","died.last","died.next","died.last.dif","died.next.dif","swarming.last","swarming.next","swarming.last.dif","swarming.next.dif","lon","lat"
"1",1,"2019-08-25 00:00:00",339870.5,17.9057291666667,17.303125,16.6161458333333,17.1682291666667,17.2,13.8947916666667,35.8595695,71.0712368333333,16.256633,1014.52395833333,49,25,8,2019,0,29.5,0,NA,339870.5,-7.09166666666761e-05,1,0,-7.09166666666761e-05,-0.00396049999999756,-7.09166666666761e-05,NA,NA,NA,NA,NA,NA,NA,36810,NA,NA,NA,36810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"2",2,"2019-08-25 01:00:00",339930.5,17.2744791666667,16.7255208333333,15.9213541666667,16.5427083333333,16.5046875,13.3020833333333,35.8568968333333,73.7461156666667,15.6163868333333,1014.56225833333,49,25,8,2019,1,29.5,0,NA,339930.5,-2.8166666666607e-05,1,0,-2.8166666666607e-05,-0.00663316666666394,-2.8166666666607e-05,NA,NA,NA,NA,NA,NA,NA,33210,NA,NA,NA,33210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"3",3,"2019-08-25 02:00:00",339990.5,16.7541666666667,16.184375,15.3395833333333,15.9166666666667,15.8536458333333,12.7322916666667,35.8574009166667,75.9634959166667,15.05421325,1014.65860833333,49,25,8,2019,2,29.5,0,NA,339990.5,-5.00000000004763e-06,1,0,-5.00000000004763e-06,-0.00612908333333024,-5.00000000004763e-06,NA,NA,NA,NA,NA,NA,NA,29610,NA,NA,NA,29610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"4",4,"2019-08-25 03:00:00",340050.5,16.0098958333333,15.3958333333333,14.7927083333333,15.3770833333333,15.3526041666667,12.2546875,35.8554186666667,77.52174475,14.5741538333333,1014.57398333333,49,25,8,2019,3,29.5,0,NA,340050.5,-5.38333333332494e-05,1,0,-5.38333333332494e-05,-0.00811133333333096,-5.38333333332494e-05,NA,NA,NA,NA,NA,NA,NA,26010,NA,NA,NA,26010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"5",5,"2019-08-25 04:00:00",340110.5,15.4432291666667,14.8328125,14.4166666666667,14.9166666666667,14.9895833333333,11.80625,35.8552496666667,79.2229115,14.0567711666667,1014.805675,49,25,8,2019,4,29.5,0,NA,340110.5,3.56666666666188e-05,1,0,3.56666666666188e-05,-0.00828033333333072,3.56666666666188e-05,NA,NA,NA,NA,NA,NA,NA,22410,NA,NA,NA,22410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"6",6,"2019-08-25 05:00:00",340170.5,16.4635416666667,15.8255208333333,15.1505208333333,15.9447916666667,15.9713541666667,12.48125,35.85908625,79.57039475,14.6588595,1014.970875,49,25,8,2019,5,29.5,0,NA,340170.5,0.00017674999999997,1,0,0.00017674999999997,-0.00444374999999688,0.00017674999999997,NA,NA,NA,NA,NA,NA,NA,18810,NA,NA,NA,18810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"7",7,"2019-08-25 06:00:00",340230.5,17.8963541666667,17.7770833333333,16.4276041666667,18.1166666666667,18.603125,15.0328125,35.8589106666667,71.592345,18.1318533333333,1015.05945833333,49,25,8,2019,6,29.5,0,NA,340230.5,-0.000188416666666669,1,0,-0.000188416666666669,-0.00461933333333076,-0.000188416666666669,NA,NA,NA,NA,NA,NA,NA,15210,NA,NA,NA,15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"8",8,"2019-08-25 07:00:00",340290.5,19.4432291666667,19.3463541666667,18.3,19.815625,20.3739583333333,17.8052083333333,35.8628925,64.2985579166667,21.259025,1015.19691666667,49,25,8,2019,7,29.5,0,NA,340290.5,0.000204583333333375,1,0,0.000204583333333375,-0.000637499999997004,0.000204583333333375,NA,NA,NA,NA,NA,NA,NA,11610,NA,NA,NA,11610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"9",9,"2019-08-25 08:00:00",340350.5,21.6416666666667,21.3869791666667,20.734375,21.7875,22.1234375,20.2296875,35.8826541666667,60.053811,23.4677318333333,1015.25250833333,49,25,8,2019,8,29.5,0,NA,340350.5,0.000650916666666627,1,0,0.000650916666666627,0.0191241666666688,0.000650916666666627,NA,NA,NA,NA,NA,NA,NA,8010,NA,NA,NA,8010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"10",10,"2019-08-25 09:00:00",340410.5,24.2515625,23.9463541666667,23.6447916666667,24.4546875,24.6369791666667,24.8953125,35.9330833333333,53.67888375,27.0261236666667,1014.93160833333,49,25,8,2019,9,29.5,0,NA,340410.5,0.000732833333333362,1,0,0.000732833333333362,0.0695533333333361,0.000732833333333362,NA,NA,NA,NA,NA,NA,NA,4410,NA,NA,NA,4410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
